step,customer,age,gender,zipcodeOri,merchant,zipMerchant,category,amount,fraud
0,88,2,0,0,6,0,6,44.26,1
0,89,2,0,0,6,0,6,324.5,1
0,434,2,0,0,19,0,9,176.32,1
0,435,2,0,0,19,0,9,337.41,1
0,553,0,1,0,20,0,13,220.11,1
0,554,1,1,0,20,0,13,4.32,1
0,604,1,1,0,22,0,12,278.02,1
0,605,3,1,0,22,0,12,69.53,1
0,801,0,1,0,11,0,12,70.15,1
0,802,2,1,0,11,0,12,238.82,1
0,88,2,0,0,6,0,6,667.09,1
0,853,4,1,0,6,0,6,520.5,1
0,919,1,1,0,12,0,13,190.53,1
0,919,1,1,0,12,0,13,451.92,1
0,605,3,1,0,22,0,12,305.11,1
0,604,1,1,0,22,0,12,764.0,1
0,1113,0,0,0,16,0,16,328.02,1
0,1114,2,1,0,16,0,16,707.22,1
0,1164,2,1,0,15,0,13,198.58,1
0,1165,2,0,0,15,0,13,304.21,1
0,1180,0,1,0,12,0,13,154.77,1
0,1181,0,1,0,12,0,13,122.04,1
0,1196,5,1,0,22,0,12,881.04,1
0,1196,5,1,0,22,0,12,83.07,1
0,1116,5,1,0,15,0,13,432.27,1
0,1116,5,1,0,15,0,13,87.68,1
0,604,1,1,0,6,0,6,289.21,1
0,605,3,1,0,6,0,6,560.9,1
0,1668,2,1,0,20,0,13,135.11,1
0,1668,2,1,0,20,0,13,256.37,1
0,1969,1,1,0,3,0,7,66.6,1
0,1970,3,0,0,3,0,7,189.22,1
0,1196,5,1,0,22,0,12,364.68,1
0,2004,1,1,0,22,0,12,398.57,1
0,2192,0,1,0,25,0,15,119.81,1
0,2192,0,1,0,25,0,15,506.77,1
0,604,1,1,0,22,0,12,383.14,1
0,1196,5,1,0,22,0,12,321.7,1
0,853,4,1,0,6,0,6,908.5,1
0,2392,0,0,0,6,0,6,142.86,1
1,553,0,1,0,22,0,12,255.14,1
1,553,0,1,0,22,0,12,21.93,1
1,1116,5,1,0,12,0,13,212.16,1
1,2436,4,1,0,12,0,13,329.13,1
1,2438,1,0,0,6,0,6,933.69,1
1,2474,4,0,0,6,0,6,132.13,1
