step,customer_id,age,gender,region,merchant,transaction_type,category,amount,fraud
0,4612,6,2,0,48,0,18,0.0,0
1,4612,6,2,0,48,0,17,0.0,0
2,4612,6,2,0,49,0,18,0.0,-1
3,4612,6,2,0,48,0,17,0.0,0
4,4612,6,2,0,49,0,18,0.0,0
5,4612,6,2,0,49,0,18,0.0,0
6,4612,6,2,0,48,0,18,0.0,0
7,4612,6,2,0,49,0,18,0.0,0
8,4612,6,2,0,49,0,18,1332.140564918518,0
9,4612,6,2,0,49,0,18,1592.3179686069489,-1
10,4612,6,2,0,48,0,18,0.0,0
11,4612,6,2,0,49,0,18,0.0,0
12,4612,6,2,0,49,0,18,317.3639997839928,-1
13,4612,6,2,0,48,0,17,0.0,0
14,4612,6,2,0,48,0,17,30.71221988648176,0
15,4612,6,2,0,49,0,18,0.0,0
16,4612,6,2,0,49,0,18,0.0,0
17,4612,6,2,0,49,0,18,0.0,-1
18,4612,6,2,0,49,0,18,0.0,0
19,4612,6,2,0,49,0,18,0.0,-1
20,4612,6,2,0,49,0,18,1230.4291129112244,-1
21,4612,6,2,0,49,0,18,0.0,0
22,4612,6,2,0,49,0,18,0.0,0
23,4612,6,2,0,48,0,18,0.0,0
24,4612,6,2,0,49,0,18,0.0,-1
25,4612,6,2,0,49,0,18,0.0,0
26,4612,6,2,0,49,0,18,335.23857593536377,0
27,4612,6,2,0,49,0,18,0.0,0
28,4612,6,2,0,49,0,18,0.0,0
29,4612,6,2,0,48,0,18,0.0,0
30,4612,6,2,0,49,0,18,0.0,0
31,4612,6,2,0,49,0,18,0.0,-1
32,4612,6,2,0,48,0,18,0.0,0
33,4612,6,2,0,48,0,18,0.0,0
34,4612,6,2,0,49,0,18,1059.8650574684143,0
35,4612,6,2,0,48,0,18,156.248202547431,0
36,4612,6,2,0,49,0,18,3439.437747001648,-1
37,4612,6,2,0,49,0,18,0.0,-1
38,4612,6,2,0,49,0,18,1515.3694152832031,0
39,4612,6,2,0,49,0,18,0.0,0
40,4612,6,2,0,49,0,18,0.0,0
41,4612,6,2,0,49,0,18,1023.1415182352066,0
42,4612,6,2,0,49,0,18,697.9025155305862,0
43,4612,6,2,0,49,0,18,898.1040865182877,0
44,4612,6,2,0,49,0,18,1217.697188258171,0
45,4612,6,2,0,48,0,17,0.0,0
46,4612,6,2,0,49,0,18,0.0,-1
47,4612,6,2,0,49,0,18,0.0,0
48,4612,6,2,0,49,0,18,0.0,-1
49,4612,6,2,0,49,0,18,770.0369507074356,-1
50,4612,6,2,0,49,0,18,0.0,0
51,4612,6,2,0,49,0,18,353.2036766409874,0
52,4612,6,2,0,49,0,18,740.9529387950897,0
53,4612,6,2,0,49,0,18,0.0,-1
