step,customer,age,gender,zipcodeOri,merchant,zipMerchant,category,amount,fraud
114,6,4,1,0,4,0,6,69.1,0
114,6,4,1,0,42,0,6,86.13,0
115,6,4,1,0,1,0,5,51.51,0
116,6,4,1,0,28,0,13,7.61,0
117,6,4,1,0,0,0,5,54.97,0
117,6,4,1,0,1,0,5,33.86,0
118,6,4,1,0,1,0,5,27.87,0
119,6,4,1,0,1,0,5,31.64,0
120,6,4,1,0,1,0,5,0.72,0
122,6,4,1,0,1,0,5,45.81,0
122,6,4,1,0,22,0,12,752.23,1
123,6,4,1,0,1,0,5,18.33,0
124,6,4,1,0,1,0,5,40.83,0
125,6,4,1,0,1,0,5,0.38,0
126,6,4,1,0,4,0,6,148.03,0
126,6,4,1,0,42,0,6,46.52,0
127,6,4,1,0,1,0,5,16.68,0
128,6,4,1,0,1,0,5,29.18,0
129,6,4,1,0,1,0,5,31.37,0
130,6,4,1,0,1,0,5,54.72,0
132,6,4,1,0,1,0,5,21.65,0
171,6,4,1,0,1,0,5,41.94,0
172,6,4,1,0,1,0,5,59.34,0
173,6,4,1,0,1,0,5,52.07,0
174,6,4,1,0,1,0,5,49.07,0
175,6,4,1,0,1,0,5,24.96,0
176,6,4,1,0,5,0,8,23.05,0
177,6,4,1,0,1,0,5,32.15,0
178,6,4,1,0,1,0,5,52.84,0
179,6,4,1,0,1,0,5,30.82,0
0,12,2,0,0,2,0,6,68.79,0
33,12,2,0,0,6,0,6,431.88,1
38,12,2,0,0,35,0,18,2372.22,1
60,12,2,0,0,6,0,6,58.38,0
63,12,2,0,0,12,0,13,78.92,0
64,12,2,0,0,11,0,12,521.63,1
66,12,2,0,0,3,0,7,2.78,0
92,12,2,0,0,12,0,13,14.92,0
92,12,2,0,0,21,0,13,31.77,0
93,12,2,0,0,3,0,7,45.18,0
95,12,2,0,0,6,0,6,9.68,0
95,12,2,0,0,4,0,6,104.62,0
96,12,2,0,0,1,0,5,4.27,0
97,12,2,0,0,1,0,5,11.61,0
98,12,2,0,0,5,0,8,55.98,0
